Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2008-05-31,1403.22,28.573333333333,54.376666666667,216.632,3.88,1619.2052583413,32.971374112166,62.746386594932,23.696432116623
2008-06-30,1341.25,28.71,51.37,218.815,4.1,1532.2562224368,32.798565626214,58.685556120467,22.416812802282
2008-07-31,1257.33,28.756666666667,49.563333333333,219.964,4.01,1428.8821735034,32.680273571281,56.325836064841,20.907206462662
2008-08-31,1281.47,28.803333333333,47.756666666667,219.086,3.89,1462.1521461321,32.864488165226,54.490165714986,21.401617360048
2008-09-30,1216.95,28.85,45.95,218.783,3.69,1390.4581134617,32.963323532907,52.501376649465,20.362733946098
2008-10-31,968.8,28.696666666667,35.593333333333,216.573,3.81,1118.2233750283,33.122712068602,41.083089728021,16.38735654879
2008-11-30,883.04,28.543333333333,25.236666666667,212.425,3.53,1039.1386503472,33.589056980895,29.69785710643,15.259659405705
2008-12-31,877.56,28.39,14.88,210.228,2.42,1043.4821144186,33.757756994787,17.693392887722,15.376080747424
2009-01-31,865.58,28.013333333333,12.206666666667,211.143,2.52,1024.7767743899,33.165522971004,14.451706939531,15.17465193688
2009-02-28,805.23,27.636666666667,9.5333333333333,212.193,2.87,948.60987774102,32.557672947898,11.230846053671,14.122181801919
2009-03-31,757.13,27.26,6.86,212.709,2.82,889.78142985252,32.036033148574,8.0618924211011,13.323667656864
2009-04-30,848.15,26.703333333333,7.0766666666667,213.24,2.93,994.26634982883,31.303691282905,8.2958103349903,14.981866453039
2009-05-31,902.41,26.146666666667,7.2933333333333,213.856,3.29,1054.8269291603,30.562835194399,8.5251763647813,15.996355755263
2009-06-30,926.12,25.59,7.51,215.693,3.72,1073.3218261603,29.657393784221,8.7036743774717,16.384182816215
2009-07-31,935.82,25.026666666667,9.1866666666667,215.351,3.56,1086.2859901974,29.050583853028,10.663746550206,16.694620816996
2009-08-31,1009.73,24.463333333333,10.863333333333,215.834,3.59,1169.4567070642,28.333127909257,12.581777334279,18.094069801576
2009-09-30,1044.55,23.9,12.54,215.969,3.4,1209.0285732559,27.66337935074,14.514593182355,18.83190226484
2009-10-31,1067.66,23.403333333333,25.35,216.177,3.39,1234.5885227152,27.062441907172,29.313469691503,19.358008443487
2009-11-30,1088.07,22.906666666667,38.16,216.33,3.4,1257.2997658092,26.469387663909,44.095103314381,19.812761079966
2009-12-31,1110.38,22.41,50.97,215.949,3.59,1285.3434305091,25.941160933832,59.001382097162,20.322376500217
